what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275051925536
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1275051925551
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275051969833
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275052007661
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275052009223
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275052011130
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275052014786
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275052016020
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275052016864
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275052018473
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275052019989
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1275052019989
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275052021333
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275052021473
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1275052023989
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275052027973
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275052028942
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275052029770
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275052029833
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1275052029833
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275052049598
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275052113583
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275052115145
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275052177520
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275052177520
