what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1275210825660
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275210829301
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275210831004
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1275210845426
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1275210847754
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275210882364
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275210883848
started,bundle,org.eclipse.wst.common.emf,1.1.202.v200809111955,org.eclipse.wst.common.emf,1275210884082
started,bundle,org.eclipse.jst.j2ee.core,1.1.201.v200808071630,org.eclipse.jst.j2ee.core,1275210884082
started,bundle,org.eclipse.jem,2.0.201.v200806201600,org.eclipse.jem,1275210884082
started,bundle,org.eclipse.emf.ecore.xmi,2.4.1.v200808251517,org.eclipse.emf.ecore.xmi,1275210884098
started,bundle,org.eclipse.jst.jee,1.0.101.v200807240600,org.eclipse.jst.jee,1275210884176
started,bundle,org.eclipse.wst.sse.core,1.1.302.v200808260045,org.eclipse.wst.sse.core,1275210884192
started,bundle,org.eclipse.jem.ui,2.0.100.v200806051600,org.eclipse.jem.ui,1275210884207
started,bundle,org.eclipse.wst.xml.core,1.1.305.v200809120354,org.eclipse.wst.xml.core,1275210884239
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.201.v200808071700,org.eclipse.wst.common.emfworkbench.integration,1275210884270
started,bundle,org.eclipse.wst.common.modulecore,1.1.203.v200809110700,org.eclipse.wst.common.modulecore,1275210884270
started,bundle,org.eclipse.wst.validation,1.2.2.v200809050219,org.eclipse.wst.validation,1275210884285
started,bundle,org.eclipse.jst.j2ee,1.1.203.v200809102205,org.eclipse.jst.j2ee,1275210884301
started,bundle,org.eclipse.wst.web,1.1.204.v200809132300,org.eclipse.wst.web,1275210884301
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275210885129
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275210885223
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1275210885223
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275210950176
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275211010896
