what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1275227258672
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1275227275031
executed,command,,,AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1275227292406
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275227295047
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275227295297
executed,command,,,AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1275227300250
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275227301266
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275227301453
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1275227309922
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1275227310203
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1275227310953
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1275227311406
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1275227315563
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1275227315938
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275227320656
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275227322000
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275227323016
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275227323047
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1275227323047
activated,view,org.eclipse.mylyn.tasks.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.ui.views.tasks,1275227344609
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1275227347328
activated,view,org.eclipse.mylyn.tasks.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.ui.views.tasks,1275227353875
activated,editor,com.cloudgarden.jigloo,4.6.1,com.cloudgarden.jigloo.editors.FormEditor,1275227355953
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1275227357219
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1275227359188
